"Fecha","Temperatura","Humedad","Precipitación Total"
"2016-06-01 12",20.49,56.38,0
"2016-06-01 13",21.99,47.39,0
"2016-06-01 14",23.33,42.7,0
"2016-06-01 15",23.53,44.16,0
"2016-06-01 16",22.73,45.51,0
"2016-06-01 17",23.11,40.07,0
"2016-06-01 18",23.13,44.09,0
"2016-06-01 19",22.63,46.26,0
"2016-06-01 20",20.85,50.89,0
"2016-06-01 21",18.31,62.5,0
"2016-06-01 22",16.54,76.07,0.6
"2016-06-01 23",16.09,81.72,0
"2016-06-02 00",15.93,82.26,0
"2016-06-02 01",16.15,81.47,0
"2016-06-02 02",15.55,81.62,0
"2016-06-02 03",15.79,80.27,0
"2016-06-02 04",15.39,81.14,0
"2016-06-02 05",15.27,80.14,0
"2016-06-02 06",15.95,81.12,0
"2016-06-02 07",15.29,81.59,0.8
"2016-06-02 08",14.86,77.69,0.2
"2016-06-02 09",14.7,85.78,0.1
"2016-06-02 10",15.89,77.36,0
"2016-06-02 11",17.14,68.88,0.1
"2016-06-02 12",18.37,60.63,0
"2016-06-02 13",20.36,50.71,0
"2016-06-02 14",21.38,45.02,0
"2016-06-02 15",22.84,40.34,0
"2016-06-02 16",23.35,41.26,0
"2016-06-02 17",22.88,41.54,0
"2016-06-02 18",22.27,45.53,0
"2016-06-02 19",19.92,50.72,0
"2016-06-02 20",16.5,65.91,0.5
"2016-06-02 21",16.35,64.51,0
"2016-06-02 22",17.98,57.66,0
"2016-06-02 23",17.47,62.27,0
"2016-06-03 00",16.92,62.61,0
"2016-06-03 01",16.83,65.08,0
"2016-06-03 02",16.46,64.1,0
"2016-06-03 03",15.41,66.3,0
"2016-06-03 04",14.19,74.09,0
"2016-06-03 05",13.82,77.47,0
"2016-06-03 06",14.28,74.4,0
"2016-06-03 07",14.5,73.94,0
"2016-06-03 08",15.87,70.08,0
"2016-06-03 09",16.21,71.36,0
"2016-06-03 10",17.8,63.93,0
"2016-06-03 11",18.99,58.4,0
"2016-06-03 12",18.93,60.84,0
"2016-06-03 13",19.14,60.92,0
"2016-06-03 14",17.82,60.58,0.1
"2016-06-03 15",21.31,42.49,0
"2016-06-03 16",21.48,46.38,0
"2016-06-03 17",21.07,48.35,0
"2016-06-03 18",21.2,44.79,0
"2016-06-03 19",21.21,45.63,0
"2016-06-03 20",20.57,47.78,0
"2016-06-03 21",20.32,46.58,0
"2016-06-03 22",19.54,50.08,0
"2016-06-03 23",18.72,52.97,0
"2016-06-04 00",18.2,55.31,0
"2016-06-04 01",17.96,55.31,0
"2016-06-04 02",17.33,57.68,0
"2016-06-04 03",16.07,62.73,0
"2016-06-04 04",15.39,64.96,0
"2016-06-04 05",15.04,63.07,0
"2016-06-04 06",14.45,65.65,0
"2016-06-04 07",14.93,64.45,0
"2016-06-04 08",17.21,58.99,0
"2016-06-04 09",18.15,55.59,0
"2016-06-04 10",20.31,46.29,0
"2016-06-04 11",21.41,36.2,0
"2016-06-04 12",21.5,32.38,0
"2016-06-04 13",22.13,30.05,0
"2016-06-04 14",23.03,27.72,0
"2016-06-04 15",21.52,32.48,0
"2016-06-04 16",20.12,40.56,0
"2016-06-04 17",20.51,38.84,0
"2016-06-04 18",20.38,41.78,0
"2016-06-04 19",19.96,40.19,0
"2016-06-04 20",19.25,42.17,0
"2016-06-04 21",17.05,52.13,0
"2016-06-04 22",16.58,53.42,0
"2016-06-04 23",15.15,62.42,0
"2016-06-05 00",15.02,63.48,0
"2016-06-05 01",14.86,64.41,0
"2016-06-05 02",14.32,66.77,0
"2016-06-05 03",13.07,73.09,0
"2016-06-05 04",12.38,75.18,0
"2016-06-05 05",11.77,71.64,0
"2016-06-05 06",11.32,70.17,0
"2016-06-05 07",12.17,67.9,0
"2016-06-05 08",14.85,62.7,0
"2016-06-05 09",16.24,60.2,0
"2016-06-05 10",17.5,56.32,0
"2016-06-05 11",19.44,50.11,0
"2016-06-05 12",20.59,45.84,0
"2016-06-05 13",21.52,40.57,0
"2016-06-05 14",22.17,37.89,0
"2016-06-05 15",22.63,35.12,0
"2016-06-05 16",20.74,46.55,0
"2016-06-05 17",18.45,59.95,6.4
"2016-06-05 18",13.32,88.46,4.4
"2016-06-05 19",13.44,87.46,0.2
"2016-06-05 20",13.74,88.13,0
"2016-06-05 21",13.76,86.04,0.1
"2016-06-05 22",13.43,86.73,0
"2016-06-05 23",13.5,81.86,0
"2016-06-06 00",13.39,83.51,0
"2016-06-06 01",13.34,85.63,0
"2016-06-06 02",13.52,84.83,0
"2016-06-06 03",13.03,88.76,0
"2016-06-06 04",12.52,92.46,0
"2016-06-06 05",12.24,89.39,0
"2016-06-06 06",11.45,88.2,0
"2016-06-06 07",11.98,86.99,0
"2016-06-06 08",14.24,77.2,0
"2016-06-06 09",15.64,68.05,0
"2016-06-06 10",17.16,58.67,0
"2016-06-06 11",18.4,55.93,0
"2016-06-06 12",19.72,51.5,0
"2016-06-06 13",20.77,47.88,0
"2016-06-06 14",20.38,49.93,0
"2016-06-06 15",20.53,38.42,0
"2016-06-06 16",19.74,48.22,0.1
"2016-06-06 17",17.73,58.45,0
"2016-06-06 18",19.33,50.82,0
"2016-06-06 19",20.08,47.24,0
"2016-06-06 20",18.88,53.79,0
"2016-06-06 21",18.49,57.36,0
"2016-06-06 22",17.24,61.78,0
"2016-06-06 23",16.8,64.27,0
"2016-06-07 00",16.14,65.77,0
"2016-06-07 01",14.99,69.66,0
"2016-06-07 02",14.54,70.5,0
"2016-06-07 03",14.24,72.53,0
"2016-06-07 04",13.36,76.29,0
"2016-06-07 05",13.22,76.04,0
